Timestamp,sessionID,numTimeSwitches,mostRecentCheckpoint,timePassedSinceGameStart,currentLevel,eventType,debug,Checkpoint,Dimension
4/2/2024 14:30:16,6.38477E+17,2,"(19.55, 2.01, 0.00)",0.205233333,1,passedCheckpoint,FALSE,19.55,present
4/2/2024 14:30:22,6.38477E+17,2,"(19.55, 2.01, 0.00)",0.313116667,1,playerDied,FALSE,19.55,present
4/2/2024 14:30:23,6.38477E+17,2,"(19.55, 2.01, 0.00)",0.320483333,1,playerDied,FALSE,19.55,present
4/2/2024 14:30:23,6.38477E+17,2,"(19.55, 2.01, 0.00)",0.334116667,1,passedCheckpoint,FALSE,19.55,present
4/2/2024 14:30:24,6.38477E+17,2,"(19.55, 2.01, 0.00)",0.3341,1,checkpointUsed,FALSE,19.55,present
4/2/2024 14:30:24,6.38477E+17,2,"(19.55, 2.01, 0.00)",0.3422,1,playerDied,FALSE,19.55,present
4/2/2024 14:30:25,6.38477E+17,2,"(19.55, 2.01, 0.00)",0.359266667,1,passedCheckpoint,FALSE,19.55,present
4/2/2024 14:30:25,6.38477E+17,2,"(19.55, 2.01, 0.00)",0.359216667,1,checkpointUsed,FALSE,19.55,present
4/2/2024 14:30:26,6.38477E+17,2,"(19.55, 2.01, 0.00)",0.37765,1,playerDied,FALSE,19.55,present
4/2/2024 14:30:27,6.38477E+17,2,"(19.55, 2.01, 0.00)",0.390316667,1,checkpointUsed,FALSE,19.55,present
4/2/2024 14:30:27,6.38477E+17,2,"(19.55, 2.01, 0.00)",0.390333333,1,passedCheckpoint,FALSE,19.55,present
4/2/2024 14:30:31,6.38477E+17,3,"(19.55, 2.01, 0.00)",0.464716667,1,timeSwitch,FALSE,19.55,past
4/2/2024 14:30:32,6.38477E+17,4,"(19.55, 2.01, 0.00)",0.4728,1,timeSwitch,FALSE,19.55,present
4/2/2024 14:30:33,6.38477E+17,4,"(42.14, 2.69, 0.00)",0.484016667,1,passedCheckpoint,FALSE,42.14,present
4/2/2024 14:30:34,6.38477E+17,5,"(42.14, 2.69, 0.00)",0.5125,1,timeSwitch,FALSE,42.14,past
4/2/2024 14:30:34,6.38477E+17,6,"(42.14, 2.69, 0.00)",0.51755,1,timeSwitch,FALSE,42.14,present
4/2/2024 14:30:39,6.38477E+17,6,"(42.14, 2.69, 0.00)",0.586033333,1,playerDied,FALSE,42.14,present
4/2/2024 14:30:40,6.38477E+17,6,"(42.14, 2.69, 0.00)",0.605733333,1,checkpointUsed,FALSE,42.14,present
4/2/2024 14:30:40,6.38477E+17,6,"(42.14, 2.69, 0.00)",0.60585,1,passedCheckpoint,FALSE,42.14,present
4/2/2024 14:30:41,6.38477E+17,7,"(42.14, 2.69, 0.00)",0.6226,1,timeSwitch,FALSE,42.14,past
4/2/2024 14:30:41,6.38477E+17,8,"(42.14, 2.69, 0.00)",0.6315,1,timeSwitch,FALSE,42.14,present
4/2/2024 14:30:42,6.38477E+17,9,"(42.14, 2.69, 0.00)",0.639266667,1,timeSwitch,FALSE,42.14,past
4/2/2024 14:30:43,6.38477E+17,10,"(42.14, 2.69, 0.00)",0.659783333,1,timeSwitch,FALSE,42.14,present
4/2/2024 14:30:44,6.38477E+17,10,"(42.14, 2.69, 0.00)",0.6729,1,passedCheckpoint,FALSE,42.14,present
4/2/2024 14:30:45,6.38477E+17,11,"(42.14, 2.69, 0.00)",0.693916667,1,timeSwitch,FALSE,42.14,past
4/2/2024 14:30:45,6.38477E+17,12,"(42.14, 2.69, 0.00)",0.69835,1,timeSwitch,FALSE,42.14,present
4/2/2024 14:30:46,6.38477E+17,13,"(42.14, 2.69, 0.00)",0.700966667,1,timeSwitch,FALSE,42.14,past
